主分类(中文)	HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
四肢异常;骨骼系统的异常	HP:0003919	Sclerotic humeral metaphysis with longitudinal striations	肱骨干骺端硬化并有纵纹		
四肢异常;骨骼系统的异常	HP:0003920	Sloping humeral metaphysis	肱骨干骺端倾斜		
四肢异常;骨骼系统的异常	HP:0003921	Laterally sloping humeral metaphysis	肱骨干骺端横向倾斜		
四肢异常;骨骼系统的异常	HP:0003922	Spurred humeral metaphysis	肱骨干骺端骨刺		
四肢异常;骨骼系统的异常	HP:0003923	Square humeral metaphysis	方形肱骨干骺端		
四肢异常;骨骼系统的异常	HP:0003924	Stippled calcification of humeral metaphysis	肱骨干骺端点状钙化		
四肢异常;骨骼系统的异常	HP:0003926	Abnormality of the humeral diaphysis	肱骨骨干异常	An anomaly of the `humeral diaphysis` (FMA:13305).	肱骨骨干的异常。
四肢异常;骨骼系统的异常	HP:0003927	Cortical irregularity of humeral diaphysis	肱骨骨干皮质不规则	An abnormal irregularity of the cortical surface of the diaphysis (shaft) of the humerus.	肱骨骨干（轴）的皮质表面的一种不正常的不规则。
四肢异常;骨骼系统的异常	HP:0003928	Cortical thickening of humeral diaphysis	肱骨骨干皮质增厚		
四肢异常;骨骼系统的异常	HP:0003929	Ground glass opacity of humeral diaphysis	肱骨骨干磨砂玻璃样观		
四肢异常;骨骼系统的异常	HP:0003930	Lytic defects of humeral diaphysis	肱骨骨干的溶骨性缺陷		
四肢异常;骨骼系统的异常	HP:0003931	Periosteal new bone (humeral diaphysis)	骨膜新骨（肱骨骨干）		
四肢异常;骨骼系统的异常	HP:0003932	Sclerotic foci of humeral diaphysis	肱骨骨干的硬化灶		
四肢异常;骨骼系统的异常	HP:0003933	Sclerosis of humeral diaphysis	肱骨骨干硬化		
四肢异常;骨骼系统的异常	HP:0003934	Slender humeral diaphysis	长肱骨骨干		
四肢异常;骨骼系统的异常	HP:0003935	Wide humeral diaphysis	肱骨骨干增宽	Increased width of the `humeral diaphysis` (FMA:13305).	肱骨骨干的宽度增加。
四肢异常;骨骼系统的异常	HP:0003938	Synostosis involving the elbow	累及肘部的骨性连合		
四肢异常;骨骼系统的异常	HP:0003939	Humeroulnar synostosis	肱尺的骨性结合	An abnormal osseous union (fusion) between the ulna and the humerus.	尺骨与肱骨之间的一种不正常的骨愈合（融合）。
四肢异常;骨骼系统的异常	HP:0003940	Osteoarthritis of the elbow	肘关节骨性关节炎		
四肢异常;骨骼系统的异常	HP:0003941	Stippled calcification of the elbow	肘关节点状钙化		
四肢异常;骨骼系统的异常	HP:0003942	Synovial chondromatosis of the elbow	肘关节滑膜软骨瘤病		
四肢异常;骨骼系统的异常	HP:0003943	Abnormality of the joint spaces of the elbow	肘关节的关节间隙异常		
四肢异常;骨骼系统的异常	HP:0003944	Narrow joint spaces of the elbow	肘部关节狭窄		
四肢异常;骨骼系统的异常	HP:0003945	Irregular articular surfaces of the elbow joints	肘关节关节面不规则		
四肢异常;骨骼系统的异常	HP:0003946	Abnormality of the epiphyses of the elbow	肘部骨骺异常		
四肢异常;骨骼系统的异常	HP:0003947	Delayed elbow epiphyseal ossification	肘关节骨骺骨化延迟	A delay in the process of formation and maturation of the `epiphysis` (FMA:24012) of one or more long bones that are part of the elbow.	在形成`epiphysis`的和成熟的过程中的延迟（FMA:24012）的一个或多个长骨是肘部的一部分。
四肢异常;骨骼系统的异常	HP:0003948	Irregular epiphyses of the elbow	肘关节骨骺不规则		
四肢异常;骨骼系统的异常	HP:0003949	Abnormality of the elbow metaphyses	肘关节干骺端异常		
四肢异常;骨骼系统的异常	HP:0003950	Flared metaphyses (elbow)	喇叭状干骺端（肘）展		
四肢异常;骨骼系统的异常	HP:0003951	Irregular metaphyses (elbow)	肘部干骺端不规则		
四肢异常;骨骼系统的异常	HP:0003952	Sclerotic foci of metaphyses of the elbow	肘关节干骺端的硬化灶		
四肢异常;骨骼系统的异常	HP:0003953	Absent forearm bone	前臂骨缺如	Absence of one or more forearm bones associated with congenital failure of development.	一种先天性发育缺陷，缺一个或多个前臂的骨头。
四肢异常;骨骼系统的异常	HP:0003954	Angulated forearm bones	前臂骨弯曲		
四肢异常	HP:0003955	Bone-in-a-bone appearance (forearm)	前臂骨中骨外观		
四肢异常;骨骼系统的异常	HP:0003956	Bowed forearm bones	前臂骨弯曲	A bending or abnormal curvature affecting either the `radius` (:FMA:23463), the `ulna`(FMA:23466), or both.	的弯曲或异常弯曲影响任`radius`（:FMA:23463），所述`ulna`（FMA:23466），或两者。
四肢异常;骨骼系统的异常	HP:0003957	Cortical thickening of the forearm bones	前臂的骨皮质增厚		
四肢异常;骨骼系统的异常	HP:0003958	Cross-fusion of the forearm bones	前臂骨的交叉融合		
四肢异常;骨骼系统的异常	HP:0003959	Deformed forearm bones	前臂骨变形		
肿瘤;四肢异常;骨骼系统的异常	HP:0003960	Exostoses of the forearm bones	前臂骨外生骨疣		
四肢异常;骨骼系统的异常	HP:0003961	Fractured forearm bones	骨折后的前臂骨		
四肢异常;骨骼系统的异常	HP:0003963	Lytic defects of the forearm bones	前臂骨头溶解缺陷		
四肢异常;骨骼系统的异常	HP:0003964	Osteoporotic forearm bones	前臂骨骨质疏松		
四肢异常;骨骼系统的异常	HP:0003965	Pseudarthrosis of the forearm bones	前臂骨假性关节		
四肢异常;骨骼系统的异常	HP:0003966	Sclerotic foci in forearm bones	前臂骨骼硬化灶		
四肢异常;骨骼系统的异常	HP:0003967	Sclerotic forearm bones	前臂骨硬化		
四肢异常;骨骼系统的异常	HP:0003969	Slender forearm bones	长前臂骨		
四肢异常;骨骼系统的异常	HP:0003970	Undermodelled forearm bones	未成形的前臂骨骼		
四肢异常;骨骼系统的异常	HP:0003971	Broad forearm bones	前臂骨变宽	Abnormally wide bone of the `skeleton of forearm` (FMA:71199).	forearm`的'骨架的异常广泛的骨（FMA:71199）。
四肢异常;骨骼系统的异常	HP:0003973	Wide radioulnar joints	尺桡关节增宽		
四肢异常;骨骼系统的异常	HP:0003974	Absent radius	桡骨缺如	Missing radius bone associated with congenital failure of development.	用发展的先天缺失故障桡骨有关。
四肢异常;骨骼系统的异常	HP:0003975	Chevron-shaped/cone-shaped radius	V形/圆锥形桡骨		
四肢异常;骨骼系统的异常	HP:0003976	Constricted radius	桡骨收缩		
四肢异常;骨骼系统的异常	HP:0003977	Deformed radius	桡骨变形		
四肢异常;骨骼系统的异常	HP:0003978	Fractured radius	骨折后的桡骨		
四肢异常;骨骼系统的异常	HP:0003979	Lytic defects of the radius	桡骨裂解缺陷		
四肢异常;骨骼系统的异常	HP:0003980	Pseudarthrosis of the radius	桡骨假关节		
四肢异常;骨骼系统的异常	HP:0003981	Broad radius	桡骨变宽	Increased width of the `radius` (FMA:23463).	在`radius`的宽度增加（FMA:23463）。
四肢异常;骨骼系统的异常	HP:0003982	Absent ulna	尺骨缺如	Missing ulna bone associated with congenital failure of development.	用发展的先天性故障缺少尺骨骨有关。
四肢异常;骨骼系统的异常	HP:0003984	Posteriorly dislocated ulna	继发尺骨脱位		
肿瘤;四肢异常;骨骼系统的异常	HP:0003985	Exostoses of the ulna	尺骨外生骨疣		
肿瘤;四肢异常;骨骼系统的异常	HP:0003986	Exostoses of the radius	桡骨外生骨疣		
四肢异常;骨骼系统的异常	HP:0003987	Fractured ulna	骨折后的尺骨		
四肢异常;骨骼系统的异常	HP:0003988	Long ulna	长尺骨	Increased length of the ulna.	长度增加尺骨。
四肢异常;骨骼系统的异常	HP:0003989	Notched ulna	锯齿状尺骨		
四肢异常;骨骼系统的异常	HP:0003990	Pointed ulna	尖尺骨		
四肢异常;骨骼系统的异常	HP:0003991	Osteosclerosis of the ulna	尺骨骨硬化	Osteosclerosis (increased density related to increased bone mass) of the ulna.	骨硬化（密度增加相关的骨量增加）尺骨。
四肢异常;骨骼系统的异常	HP:0003992	Slender ulna	尺骨修长	Reduction in diameter of the???ulna` (FMA:23466).	减少了?? ulna`直径（FMA:23466）。
四肢异常;骨骼系统的异常	HP:0003993	Broad ulna	尺骨变宽	Increased width of the `ulna` (FMA:23466).	宽度增加了`ulna`的（FMA:23466）。
四肢异常;骨骼系统的异常	HP:0003994	Dislocated wrist	手腕脱臼		
四肢异常;骨骼系统的异常	HP:0003995	Abnormality of the radial head	桡骨小头异常		
四肢异常;骨骼系统的异常	HP:0003996	Flattened radial head	桡骨小头扁平		
四肢异常;骨骼系统的异常	HP:0003997	Hypoplastic radial head	桡骨发育低下		
四肢异常;骨骼系统的异常	HP:0003998	Constricted radial neck	桡骨颈紧缩		
四肢异常;骨骼系统的异常	HP:0003999	Abnormality of radial epiphyses	桡骨骺异常	This term means any abnormal structure or form of the end of radial bone.	绕骨骨骺的结构或形态异常。
四肢异常;骨骼系统的异常	HP:0004000	Chevron-shaped/cone-shaped radial epiphyses	V形/圆锥形桡骨骨骺		
四肢异常;骨骼系统的异常	HP:0004001	Medially deficient radial epiphyses	径向桡骨中位缺陷		
四肢异常;骨骼系统的异常	HP:0004002	Flattened radial epiphyses	桡骨骨骺扁平		
四肢异常;骨骼系统的异常	HP:0004003	Medially flattened radial epiphyses	骨骺桡骨中位扁平		
四肢异常;骨骼系统的异常	HP:0004004	Irregular radial epiphyses	桡骨骨骺不规则		
四肢异常;骨骼系统的异常	HP:0004005	Large radial epiphyses	桡骨径向骨骺较大		
四肢异常;骨骼系统的异常	HP:0004006	Round radial epiphyses	圆形桡骨骺		
四肢异常;骨骼系统的异常	HP:0004007	Sclerotic radial epiphyses	桡骨骺硬化		
四肢异常;骨骼系统的异常	HP:0004008	Sloping radial epiphyses	桡骨骺倾斜		
四肢异常;骨骼系统的异常	HP:0004009	Medially sloping radial epiphyses	桡骨骨骺中位倾斜		
四肢异常;骨骼系统的异常	HP:0004010	Small radial epiphyses	桡骨骨骺小		
四肢异常;骨骼系统的异常	HP:0004012	Premature fusion of the radial epiphyseal plates	桡骨骺板过早融合	A premature fusion of the epiphyseal plates of the radius. Epiphyseal plates are located at the distal and proximal ends of the long bones, in this case of the radius and premature fusion will have an effect on the growh of the radial bone, inhibiting or at least disturbing the normal growth and development of the bone.	过早融合半径的骺板。骺板位于所述长骨的远端和近端，在半径和过早融合这种情况下将会对桡骨的growh的效果，抑制或至少扰乱正常生长的骨骼和发展。
四肢异常;骨骼系统的异常	HP:0004013	Medially fused radial epiphyseal plates	桡骨骺板中部融合		
四肢异常;骨骼系统的异常	HP:0004014	Broad radial epiphyseal plate	桡骨骺板变宽	Abnormal increase in width of the epiphyseal growth plate of the radius.	异常增加的宽度的半径的骺生长板。
四肢异常;骨骼系统的异常	HP:0004015	Abnormality of radial metaphyses	桡骨干骺端异常	Any Abnormal structure or form of the growing part of radial bone between the diaphysis and the epiphysis.	桡骨干骺端部位的结构异常。
四肢异常;骨骼系统的异常	HP:0004016	Cupped radial metaphyses	杯状桡骨干骺端		
肿瘤;四肢异常;骨骼系统的异常	HP:0004017	Exostoses of the radial metaphysis	桡骨干骺端外生骨疣		
四肢异常;骨骼系统的异常	HP:0004018	Flared radial metaphyses	桡骨喇叭状干骺端		
四肢异常;骨骼系统的异常	HP:0004019	Irregular radial metaphysis	桡骨干骺端不规则		
四肢异常;骨骼系统的异常	HP:0004020	Irregular ossification of the radial metaphysis	桡骨干骺端不规则骨化		
四肢异常;骨骼系统的异常	HP:0004021	Lytic defects of radial metaphysis	桡骨干骺端裂解缺陷		
四肢异常;骨骼系统的异常	HP:0004022	Sclerotic radial metaphysis with longitudinal striations	桡骨干骺端硬化有纵纹		
四肢异常;骨骼系统的异常	HP:0004023	Sloping radial metaphysis	桡骨干骺端倾斜		
四肢异常;骨骼系统的异常	HP:0004024	Medially sloping radial metaphysis	桡骨干骺端中位倾斜		
四肢异常;骨骼系统的异常	HP:0004025	Spurred radial metaphysis	桡骨干骺端骨刺		
四肢异常;骨骼系统的异常	HP:0004026	Broad radial metaphysis	桡骨干骺端变宽	Increase in width (breadth) of the `radial metaphysis` (FMA:33789).	增加宽度（宽度）的`径向metaphysis`的（FMA:33789）。
四肢异常;骨骼系统的异常	HP:0004027	Abnormality of radial diaphysis	桡骨干异常	Any Abnormal structure or form of the main section of  radial bone.	桡骨骨干的异常结构或形态。
四肢异常;骨骼系统的异常	HP:0004028	Spurs of radial diaphysis	桡骨干骨突		
四肢异常;骨骼系统的异常	HP:0004029	Lytic defects of radial diaphysis	桡骨干的溶骨性缺陷		
四肢异常;骨骼系统的异常	HP:0004030	Patchy sclerosis of radial diaphysis	桡骨干的斑状硬化		
四肢异常;骨骼系统的异常	HP:0004031	Broad radial diaphysis	桡骨骨干变宽	Increase in width of the `diaphysis of radius` (FMA:33782).	增加宽度radius`的'骨干的（FMA:33782）。
四肢异常;骨骼系统的异常	HP:0004032	Abnormality of the olecranon	尺骨鹰嘴异常		
四肢异常;骨骼系统的异常	HP:0004033	Curved olecranon	鹰嘴骨弯曲		
四肢异常;骨骼系统的异常	HP:0004034	Irregular olecranon	鹰嘴骨不规则		
四肢异常;骨骼系统的异常	HP:0004035	Abnormality of the styloid process	茎突异常		
四肢异常;骨骼系统的异常	HP:0004036	Long styloid process	尺骨长茎突		
四肢异常;骨骼系统的异常	HP:0004037	Abnormality of the ulnar epiphyses	尺骨骨骺异常		
四肢异常;骨骼系统的异常	HP:0004038	Bony spikule of ulnar epiphyseal plate	尺骺板的骨spikule		
四肢异常;骨骼系统的异常	HP:0004039	Abnormality of ulnar metaphysis	尺骨干骺端异常		
四肢异常;骨骼系统的异常	HP:0004040	Corner fragments of ulnar metaphysis	尺骨干骺端角碎片		
四肢异常;骨骼系统的异常	HP:0004041	Cupped ulnar metaphysis	杯状尺骨干骺端		
四肢异常;骨骼系统的异常	HP:0004042	Irregular ulnar metaphysis	尺骨干骺端不规则		
四肢异常;骨骼系统的异常	HP:0004043	Lytic defects of ulnar metaphysis	尺骨干骺端的溶骨性缺陷		
四肢异常;骨骼系统的异常	HP:0004044	Pointed ulnar metaphysis	尖尺骨干骺端		
四肢异常;骨骼系统的异常	HP:0004045	Sloping ulnar metaphysis	尺骨干骺端倾斜	A sloped configuration of the metaphysis (shaft) of the ulna.	尺骨干骺端（轴）的倾斜配置。
四肢异常;骨骼系统的异常	HP:0004046	Spurred ulnar metaphysis	尺骨干骺端骨刺		
四肢异常;骨骼系统的异常	HP:0004047	Wide ulnar metaphysis	尺骨干骺端增宽	Increase in width (breadth) of the ulnar metaphysis.	尺骨干骺端宽度增加。
四肢异常;骨骼系统的异常	HP:0004048	Narrow joint spaces of wrist	腕关节狭窄		
四肢异常;骨骼系统的异常	HP:0004049	Decreased carpal angles of wrist	手腕腕角减小		
四肢异常;骨骼系统的异常	HP:0004050	Absent hand	手缺如	The total absence of the hand, with no bony elements distal to the radius or ulna.	完全没有的手，在桡骨或尺骨远端没有骨质结构。
四肢异常;骨骼系统的异常	HP:0004051	Advanced ossification of the hand bones	手部骨骼骨化过早	Ossification of hand bones at an earlier age than normal.	手部骨骼骨化在较早的年龄比正常。
四肢异常;骨骼系统的异常	HP:0004052	Delayed ossification of the hand bones	手骨骨化延迟	Ossification of hand bones is less advanced than would be expected according to age-adjusted norms.	手部骨骼骨化症是不太先进的比将根据年龄调整规范可以预期的。
四肢异常;骨骼系统的异常	HP:0004053	Dysharmonic maturation of the hand bones	手部骨骼成熟不平衡	Pattern of hand-wrist development does not fit the normal sequence of ossification of the individual bones of the hand.	手手腕的发展模式不适合手的各个骨骼骨化的正常顺序。
骨骼系统的异常	HP:0004054	Sclerosis of hand bone	手骨硬化症	Osteosclerosis affecting one or more bones of the hand.	骨硬化影响手的一个或多个骨骼。
四肢异常	HP:0004057	Mitten deformity	连指手套状并指	Fusion of the hands and feet by a thin membrane of skin (scarring) seen in forms of dystrophic epidermolysis bullosa and leading to a "mitten" hand deformity.	融合看出，在营养不良大疱性表皮松解，并导致形成一个“手套”手畸形的手和脚用薄的皮肤（疤痕）膜。
四肢异常;骨骼系统的异常	HP:0004058	Monodactyly (hands)	单指畸形		
四肢异常;骨骼系统的异常	HP:0004059	Radial club hand	桡偏畸形手	Wrist is bent inward toward the thumb because of a congenital defect associated with shortening or absence of the radius.	由于有缩短或缺席半径相关联的先天性缺陷手腕向内弯向拇指。
四肢异常;骨骼系统的异常	HP:0004060	Trident hand	三叉手	A hand in which the fingers are of nearly equal length and deflected at the first interphalangeal joint, so as to give a forklike shape consisting of separation of the first and second as well as the third and fourth digits.	手指几乎等长，缺陷发生在第一指关节，呈现叉子样形状，第一和第二指以及第三和第四指分离。
四肢异常;骨骼系统的异常	HP:0004095	Curved fingers	手指弯曲		
四肢异常;骨骼系统的异常	HP:0004097	Deviation of finger	手指偏离	Deviated fingers is a term that should be used if one or more fingers of the hand are deviated from their normal position, either to the radial or ulnar side. A deviation of a finger can be caused by an abnormal form of one or more of the phalanges of the affected finger, or by a deviation or displacement of one or more phalanges.	偏离的手指是应使用如果手的一个或多个手指从其正常位置偏离的术语，无论对径向或尺侧。手指的偏差可以由一个或多个受影响的手指的指骨，或由一个或多个指骨的偏差或位移的异常形式引起。
四肢异常;骨骼系统的异常	HP:0004099	Macrodactyly	巨指	Significant increase in the length and girth of most or all of a digit compared to its contralateral digit (if unaffected) or compared to what would be expected for age/body build. The increased girth is accompanied by an increase in the dorso-ventral dimension AND the lateral dimension of the digit.	显著增加的长度和周长大部分或全部数字的相比，它的对侧数字（如果未受影响），或者相对于所预期的年龄/体型。增加的周长是伴随着与增加的背腹维度的位数的横向尺寸。
四肢异常;骨骼系统的异常	HP:0004100	Abnormality of the 2nd finger	食指的异常	This term means any abnormal structure or form of the phalangeal bone of the 2nd finger. also known as the index finger.	第二手指（也称食指）的异常结构或形态。
头或颈部的异常	HP:0004112	Midline nasal groove	中线鼻沟	An abnormal groove on the midline of the nose that may extend to the nasal tip.	鼻子上的可延展至鼻尖的异常中线沟槽。
头或颈部的异常	HP:0004122	Midline defect of the nose	鼻中线缺陷	This term groups together three conditions that presumably represent different degrees of severity of a midline defect of the nose or nasal tip.	该术语组合了表现鼻子或者鼻尖的中线不同严重程度的三种缺陷情况。
头或颈部的异常	HP:0004132	Dimple on nasal tip	鼻尖浅窝	An abnormal indentation of the skin in the region of the nasal tip.	鼻尖区域存在异常的的皮肤凹陷。
四肢异常;骨骼系统的异常	HP:0004150	Abnormality of the 3rd finger	中指异常	This term means any abnormal structure or form of the phalangeal bone of the 3rd finger.	第三手指的异常结构或形态。
四肢异常;骨骼系统的异常	HP:0004172	Abnormality of the middle phalanx of the 3rd finger	中指中节指骨异常		
四肢异常;骨骼系统的异常	HP:0004180	Short distal phalanx of the 3rd finger	退行性第三指末节指骨过短	Hypoplasia (congenital reduction in size) of the `distal phalanx of the third finger` (FMA:23947).	第三finger`（:23947 FMA）的`末节指骨发育不全（先天性减小尺寸）。
四肢异常;骨骼系统的异常	HP:0004188	Abnormality of the 4th finger	无名指异常	This term means any abnormal structure or form of the phalangeal bone of the 4nd finger.	第四手指的异常结构或形态。
四肢异常;骨骼系统的异常	HP:0004195	Osteolytic defects of the phalanges of the 4th finger	退行性第四指的指骨溶骨缺陷	Osteolytic defects of the phalanges of the 4th (ring) finger.	第4（环）手指的指骨溶骨性缺陷。
四肢异常;骨骼系统的异常	HP:0004197	Symphalangism of the 4th finger	无名指指关节粘粘	Fusion of two or more bones of the 4th finger.	无名指的两个或多个骨头融合。
四肢异常;骨骼系统的异常	HP:0004207	Abnormality of the 5th finger	小手指的异常	This term means any abnormal structure or form of the phalangeal bone of 5th fingers.	小手指的异常结构和形态。
四肢异常;骨骼系统的异常	HP:0004209	Clinodactyly of the 5th finger	小手指屈指畸形	Clinodactyly refers to a bending or curvature of the `fifth finger` (FMA:24949) in the radial direction (i.e., towards the 4th finger).	五指指`第五finger`（FMA:24949）的弯曲或曲率在径向方向（即，朝向第四手指）。
四肢异常;骨骼系统的异常	HP:0004213	Abnormality of the phalanges of the 5th finger	小手指指骨异常	Abnormality of the phalanges of the 5th (little) finger.	小手指的指骨异常。
四肢异常;骨骼系统的异常	HP:0004214	Curved phalanges of the 5th finger	小手指的指骨弯曲	Curved phalanges of the 5th (little) finger.	第5（略）手指弯曲趾骨。
四肢异常;骨骼系统的异常	HP:0004216	Osteolytic defects of the phalanges of the 5th finger	第五手指的指骨溶骨性缺陷	Dissolution or degeneration of bone tissue of the phalanges of the 5th finger.	解散或第五手指的指骨骨组织的退化。
四肢异常;骨骼系统的异常	HP:0004218	Symphalangism of the 5th finger	小手指指关节粘黏	Fusion of two or more bones of the 5th finger.	小手指的两个或多个骨头融合。
四肢异常;骨骼系统的异常	HP:0004219	Abnormality of the middle phalanx of the 5th finger	小手指中节指骨异常		
四肢异常;骨骼系统的异常	HP:0004220	Short middle phalanx of the 5th finger	第5指中节指骨发育不全或不发育	Absence or underdevelopment (hypoplasia) of the `middle phalanx of the fifth finger` (FMA:23936).	缺席或第五finger`的`中节指骨不发达（发育不全）（FMA:23936）。
四肢异常;骨骼系统的异常	HP:0004222	Cone-shaped epiphysis of the distal phalanx of the 5th finger	小手指的末节指骨锥形骨骺	A cone-shaped appearance of the epiphysis of the distal phalanx of the little finger of the hand, producing a 'ball-in-a-socket' appearance. This epiphysis is located at the proximal end of the phalanx and is normally nearly flat. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of the phalanx.	锥形外观手的小指末节指骨骨骺，产生“球在一个插座'的出现。这骨骺位于指骨的近端，通常是几乎持平。在相关的实体'天使形“骨骺是指一种明显的锥形骨骺结合一个pseudoepiphysis在方阵的远端。
四肢异常;骨骼系统的异常	HP:0004223	Ivory epiphysis of the distal phalanx of the 5th finger	小手指的末节指骨乳白色骨骺	Sclerosis of the epiphysis of the distal phalanx of the little finger, leading to an increased degree of radiopacity (white or ivory appearance) in X-rays.	硬化的小指末节指骨骨骺，导致辐射不透明性（白色或象牙色外观）的X射线程度增加。
四肢异常;骨骼系统的异常	HP:0004224	Abnormality of the epiphysis of the middle phalanx of the 5th finger	小手指中节指骨骨骺异常	Abnormality of the epiphysis of the middle phalanx of the fifth finger. This epiphysis is located on the proximal end of the phalanx.	小指的中节指骨骨骺异常，其骨骺位于指骨的近端。
四肢异常;骨骼系统的异常	HP:0004225	Abnormality of the distal phalanx of the 5th finger	小手指的末节指骨异常	Abnormality of the distal phalanx of the 5th (little) finger.	小指的末节指骨异常。
四肢异常;骨骼系统的异常	HP:0004226	Curved distal phalanx of the 5th finger	小手指末节指骨弯曲	Curved appearance of the distal phalanx of the 5th (little) finger.	第5（略）手指的末节指骨弯曲外观。
四肢异常;骨骼系统的异常	HP:0004227	Short distal phalanx of the 5th finger	第5指末节指骨短	Hypoplastic/small `distal phalanx of the fifth finger` (FMA:23949).	发育不全/第五finger`（FMA:23949）小`末节。
四肢异常;骨骼系统的异常	HP:0004230	Subluxation of the proximal interphalangeal joint of the little finger	小指近端指间关节半脱位	A partial dislocation of the proximal interphalangeal joint of the little finger.	小指近端指关节不完全脱位。
四肢异常;骨骼系统的异常	HP:0004231	Carpal bone aplasia	腕骨发育不全	Congenital absence of a carpal bone.	先天性无一腕骨的。
四肢异常;骨骼系统的异常	HP:0004232	Accessory carpal bones	副腕骨	The presence of more than the normal number of carpal bones.	超过腕骨的正常数量的存在。
四肢异常;骨骼系统的异常	HP:0004233	Advanced ossification of carpal bones	腕骨骨化过早	Ossification of carpal bones at an abnormally early age.	腕骨骨化症的异常幼年。
四肢异常;骨骼系统的异常	HP:0004234	Bone-in-a-bone appearance of carpal bones	腕骨骨中骨外观	The bone-in-bone sign is a radiographic finding produced by increased sclerosis (abnormally dense bone) occurring intermittently with zones of relatively normal bone density. This term should be used to describe such a finding in the carpal bones.	骨中骨标识是一种通过增加硬化症（异常致密骨）公司生产的X射线的发现相对正常的骨密度区发生的间歇性。这一术语应用来描述这样的发现，在腕骨。
四肢异常;骨骼系统的异常	HP:0004235	Comma-shaped carpal bones	逗点状腕骨		
四肢异常;骨骼系统的异常	HP:0004236	Irregular carpal bones	不规则腕骨	Carpal bones with irregular or fragmented margins.	腕骨不规则或支离破碎的利润。
四肢异常;骨骼系统的异常	HP:0004237	Large carpal bones	大腕骨	Increased size of carpal bones.	腕骨增加的大小。
四肢异常;骨骼系统的异常	HP:0004238	Lytic defects of carpal bones	腕骨裂解缺陷		
四肢异常;骨骼系统的异常	HP:0004239	Proximally placed carpal bones	近端腕骨		
四肢异常;骨骼系统的异常	HP:0004240	Sclerotic foci within carpal bones	腕骨内硬化灶		
四肢异常;骨骼系统的异常	HP:0004241	Stippled calcification in carpal bones	腕骨点状钙化	Point-shaped (punctate) calcifications affecting the carpal bones.	累及腕骨的点状（小点样）钙化。
四肢异常;骨骼系统的异常	HP:0004242	Broad carpal bones	腕骨变宽		
四肢异常;骨骼系统的异常	HP:0004243	Abnormality of the scaphoid	舟骨异常		
四肢异常;骨骼系统的异常	HP:0004244	Accessory scaphoid	副舟骨		
四肢异常;骨骼系统的异常	HP:0004245	Comma-shaped scaphoid	逗点状舟		
四肢异常;骨骼系统的异常	HP:0004246	Delayed ossification of the scaphoid	舟骨骨化延迟	Formation of bone tissue of scaphoid is less than expected for age.	舟状骨组织的形成是小于预期年龄。
四肢异常;骨骼系统的异常	HP:0004247	Small scaphoid	舟状骨小	Underdevelopment of the `scaphoid` (FMA:23709).	舟状骨发育不好。
四肢异常;骨骼系统的异常	HP:0004248	Abnormality of the lunate bone	月骨异常		
四肢异常;骨骼系统的异常	HP:0004249	Accessory lunate	副月骨		
四肢异常;骨骼系统的异常	HP:0004250	Proximally placed lunate	近端月骨		
四肢异常;骨骼系统的异常	HP:0004251	Lunate-triquetral fusion	月骨-三角骨融合		
四肢异常;骨骼系统的异常	HP:0004252	Abnormality of the trapezium	多角骨异常	An anomaly of `trapezium` (FMA:23721).	多角骨的异常。
四肢异常;骨骼系统的异常	HP:0004253	Absent trapezium/absent ossification of the trapezium	缺失大多角骨/大多角骨未发生骨化		
四肢异常;骨骼系统的异常	HP:0004254	Delayed ossification of the trapezium	斜方骨骨化延迟	Formation of bone tissue of `trapezium` (FMA:23721) is less than expected for age.	`trapezium`（FMA:23721）的骨组织的形成是低于预期的年龄。
四肢异常;骨骼系统的异常	HP:0004255	Small trapezium	斜方骨小	Underdevelopment of the `trapezium` (FMA:23721).	不发达`trapezium`的（FMA:23721）。
四肢异常;骨骼系统的异常	HP:0004256	Abnormality of the trapezoid bone	小多角骨异常		
四肢异常;骨骼系统的异常	HP:0004257	Delayed ossification of the trapezoid bone	棱形骨骨化延迟	Formation of bone tissue of `trapezoid` (FMA:23724) is less than expected for age.	`trapezoid`（FMA:23724）的骨组织的形成是低于预期的年龄。
四肢异常;骨骼系统的异常	HP:0004258	Small trapezoid bone	斜方骨小	Underdevelopment of the `trapezoid` (FMA:23724).	斜方骨发育不好。
四肢异常;骨骼系统的异常	HP:0004259	Abnormality of the hamate bone	钩骨异常		
四肢异常;骨骼系统的异常	HP:0004260	Large hamate bone	大钩骨		
四肢异常;骨骼系统的异常	HP:0004261	Wide hamate bone	钩骨增宽		
四肢异常;骨骼系统的异常	HP:0004262	Abnormality of the capitate bone	头状骨异常		
四肢异常;骨骼系统的异常	HP:0004263	Large capitate bone	大花序骨		
四肢异常;骨骼系统的异常	HP:0004264	Narrow carpal joint spaces	窄腕关节位		
四肢异常;骨骼系统的异常	HP:0004267	Narrow small joints of the hand	手的小关节狭窄		
四肢异常;骨骼系统的异常	HP:0004268	Osteoarthritis of the small joints of the hand	手的小关节的骨关节炎		
四肢异常;骨骼系统的异常	HP:0004269	Subluxation of the small joints of the hand	手的小关节脱位	A partial dislocation of some or all of the small joints of the hand.	手指关节几个或全部小关节错位。
