OMIM编码	英文名	中文译名
OMIM:251450	DESBUQUOIS DYSPLASIA 1; DBQD1	DESBUQUOIS发育不良 1（ DBQD1）
OMIM:261600	PHENYLKETONURIA; PKU	苯丙酮尿症（PKU）
OMIM:610048	CORNEAL DYSTROPHY, CONGENITAL STROMAL; CSCD	先天性基质角膜营养不良；CSCD
OMIM:274300	THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL RECESSIVE; GRTH	常染色体隐性遗传型全身性甲状腺激素不敏感; GRTH
OMIM:188570	THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT; GRTH	常染色体显性遗传广义甲状腺激素抵抗症；GRTH
OMIM:145650	THYROID HORMONE RESISTANCE, SELECTIVE PITUITARY; PRTH	选择性垂体甲状腺激素抵抗（PRTH）
OMIM:614450	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6; CHNG6	先天性非甲状腺肿的甲状腺功能减退6型；CHNG6
OMIM:202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	17-α-羟化酶缺乏型先天性肾上腺增生
OMIM:273750	THREE M SYNDROME 1; 3M1	3M综合征1型；3M1
OMIM:614496	PSEUDOHYPOALDOSTERONISM, TYPE IIE; PHA2E	假性醛固酮减少症IIE型；PHA2E
OMIM:616267	ATAXIA-OCULOMOTOR APRAXIA 4; AOA4	共济失调动眼神经失用症4; AOA4
OMIM:613402	MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY; MCSZ	小头畸形、癫痫发作与发育迟缓（ MCSZ）
OMIM:601067	USHER SYNDROME, TYPE ID; USH1D	ID型USHER综合症；USH1D
OMIM:601386	DEAFNESS, AUTOSOMAL RECESSIVE 12; DFNB12	常染色体隐性遗传性耳聋-12；DFNB12
OMIM:612160	HISTIOCYTOMA, ANGIOMATOID FIBROUS	血管瘤样组织细胞瘤
OMIM:604348	ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 1; FASPS1	睡眠时相延迟综合征，家族，1；FASPS1
OMIM:615271	HYPOGONADOTROPIC HYPOGONADISM 21 WITH OR WITHOUT ANOSMIA; HH21	性腺性腺功能减退21并或不并嗅觉丧失（HH21）
OMIM:222765	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 2; RCDP2	2型肢根斑点状软骨发育异常；RCDP2
OMIM:112500	BRACHYDACTYLY, TYPE A1; BDA1	A1型短指畸形（BDA1）
OMIM:607778	ACROCAPITOFEMORAL DYSPLASIA; ACFD	Acrocapitofemoral发育不良; ACFD
OMIM:601543	DEAFNESS, AUTOSOMAL DOMINANT 12; DFNA12	失聪（常染色体显性遗传病）12；DFNA12
OMIM:603629	DEAFNESS, AUTOSOMAL RECESSIVE 21; DFNB21	常染色体隐性遗传耳聋21; DFNB21
OMIM:230900	GAUCHER DISEASE, TYPE II	戈谢病II型
OMIM:608013	GAUCHER DISEASE, PERINATAL LETHAL	围产期致死性戈谢病
OMIM:127750	DEMENTIA, LEWY BODY; DLB	路易体痴呆症（DLB）
OMIM:230800	GAUCHER DISEASE, TYPE I	戈谢病类型I
OMIM:168600	PARKINSON DISEASE, LATE-ONSET; PD	帕金森病，迟发；PD
OMIM:231005	GAUCHER DISEASE, TYPE IIIC	ⅢC型GAUCHER病
OMIM:231000	GAUCHER DISEASE, TYPE III	Ⅲ型GAUCHER病
OMIM:615473	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 17; EIEE17	早期婴幼儿癫痫性脑病17（EIEE17）
OMIM:615554	MULTIPLE FIBROADENOMAS OF THE BREAST; MFAB	乳腺纤维腺瘤多; MFAB
OMIM:615555	HYPERPROLACTINEMIA; HPRL	高泌乳素血症;HPRL
OMIM:114550	HEPATOCELLULAR CARCINOMA	肝癌
OMIM:144700	RENAL CELL CARCINOMA, NONPAPILLARY; RCC	非乳头状肾细胞癌（RCC）
OMIM:600101	DEAFNESS, AUTOSOMAL DOMINANT 2A; DFNA2A	失聪（常染色体显性遗传病）2A；DFNA2A
OMIM:614582	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9; COXPD9	联合氧化磷酸化缺陷9
OMIM:608175	AUTOIMMUNE THYROID DISEASE, SUSCEPTIBILITY TO, 3; AITD3	自身免疫性甲状腺疾病-3，易感性（AITD3）
OMIM:220100	CYSTINURIA	胱氨酸尿症
OMIM:615287	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 13; MDDGA13	肌营养不良（先天性合并脑和眼异常），A型，13；MDDGA13
OMIM:605670	LATE-ONSET RETINAL DEGENERATION; LORD	迟发性视网膜变性；LORD
OMIM:614250	NARCOLEPSY 7; NRCLP7	发作性嗜睡病-7（NRCLP7）
OMIM:613881	CARDIOMYOPATHY, DILATED, 1HH; CMD1HH	扩张型心肌病1HH；CMD1HH
OMIM:612954	MYOPATHY, MYOFIBRILLAR, 6; MFM6	肌原纤维肌病6（MFM6）
OMIM:308240	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1	X-连锁淋巴增生综合征1型；XLP1
OMIM:613718	DEAFNESS, AUTOSOMAL RECESSIVE 74; DFNB74	常染色体隐性遗传性耳聋74；DFNB74
OMIM:612692	AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE; AGM6	常染色体隐性遗传的血中丙球蛋白贫乏症（AGM6）
OMIM:214300	KLIPPEL-FEIL SYNDROME 2, AUTOSOMAL RECESSIVE; KFS2	常染色体隐性遗传性KLIPPEL-FEIL综合征2型（KFS2）
OMIM:613501	AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE; AGM3	常染色体隐性丙种球蛋白缺乏症-3（AGM3）
OMIM:179620	RAPH BLOOD GROUP SYSTEM	RAPH血型系统
OMIM:609057	NEPHROPATHY WITH PRETIBIAL EPIDERMOLYSIS BULLOSA AND DEAFNESS	胫前大疱性表皮松解症肾病和耳聋
OMIM:312170	PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD	丙酮酸脱氢酶E1-α缺乏症；PDHAD
OMIM:616351	MENTAL RETARDATION, AUTOSOMAL DOMINANT 34; MRD34	精神发育迟滞，34型常染色体显性遗传; MRD34
OMIM:603516	SPINOCEREBELLAR ATAXIA 10; SCA10	脊髓小脑共济失调10
OMIM:607921	RETINITIS PIGMENTOSA 30; RP30	色素性视网膜炎30（RP30）
OMIM:601954	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2G; LGMD2G	肢带肌萎缩症，2G型（LGMD2G）
OMIM:607487	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 25; CMH25	家族性肥厚型心肌病-25；CMH25
OMIM:613740	CARDIOMYOPATHY, DILATED, 1T; CMD1T	扩张型心肌病1T型（CMD1T）
OMIM:247100	LIPOID PROTEINOSIS OF URBACH AND WIETHE	类脂蛋白沉积症（LP）
OMIM:613488	MYXOID LIPOSARCOMA	黏液样脂肪肉瘤
OMIM:300623	FRAGILE X TREMOR/ATAXIA SYNDROME; FXTAS	脆性X震颤/共济失调综合症; FXTAS
OMIM:311360	PREMATURE OVARIAN FAILURE 1; POF1	卵巢早衰1
OMIM:300624	FRAGILE X MENTAL RETARDATION SYNDROME	脆性X智力低下综合征
OMIM:145500	HYPERTENSION, ESSENTIAL	原发性高血压
OMIM:181030	SALIVARY GLAND ADENOMA, PLEOMORPHIC	涎腺多形性腺瘤
OMIM:608415	PROLONGED ELECTRORETINAL RESPONSE SUPPRESSION; PERRS	视网膜电反应抑制延长症（PERRS）
OMIM:259420	OSTEOGENESIS IMPERFECTA, TYPE III; OI3	成骨不全症III型
OMIM:166210	OSTEOGENESIS IMPERFECTA, TYPE II; OI2	成骨不全症II型
OMIM:130060	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL DOMINANT	VII型皮肤弹性过度综合征（常染色体显性遗传病）
OMIM:225320	EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM	心脏瓣膜型皮肤弹性过度综合征（常染色体隐性遗传病）
OMIM:166710	OSTEOPOROSIS	骨质疏松症
OMIM:166220	OSTEOGENESIS IMPERFECTA, TYPE IV; OI4	成骨不全症IV型
OMIM:612712	LEBER CONGENITAL AMAUROSIS 13; LCA13	莱伯先天性黑朦13；LCA13
OMIM:610768	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Im; CDG1M	Im型先天性糖蛋白糖基化障碍；CDG1M
OMIM:616266	CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD	肌张力低下-发育迟缓-四肢及面部-先天性挛缩; CLIFAHDD
OMIM:615419	HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 1; IHPRF1	伴精神运动性发育迟滞和典型面容的婴儿期张力减退病（IHPRF）
OMIM:601680	ARTHROGRYPOSIS, DISTAL, TYPE 2B; DA2B	末梢关节挛缩类型2B; DA2B
OMIM:615420	MYOPIA 22, AUTOSOMAL DOMINANT; MYP22	常染色体显性遗传性近视-22（MYP22）
OMIM:613887	CATARACT 36; CTRCT36	白内障36；CRTCT36
OMIM:235200	HEMOCHROMATOSIS, TYPE 1; HFE1	血色病，1型; HFE1
OMIM:112600	BRACHYDACTYLY, TYPE A2; BDA2	A2型短指症；BDA2
OMIM:173900	POLYCYSTIC KIDNEY DISEASE 1; PKD1	多囊肾病1型；PKD1
OMIM:308205	IFAP SYNDROME WITH OR WITHOUT BRESHECK SYNDROME	IFAP综合征伴或不伴BRESHECK综合征
OMIM:300918	PALMOPLANTAR KERATODERMA, MUTILATING, WITH PERIORIFICIAL KERATOTIC PLAQUES, X-LINKED	X连锁型毁损性掌跖角化病，并口腔周围角化性斑块沉积症
OMIM:308800	KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, X-LINKED; KFSDX	脱发性棘状毛囊角化病（KFSDX）
OMIM:614251	PARKINSON DISEASE 18, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK18	常染色体显性遗传性易感性帕金森病18
OMIM:616111	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 9; MC3DN9	线粒体复合体III缺陷，核型9（MC3DN9）
OMIM:179620	RAPH BLOOD GROUP SYSTEM	RAPH血型系统
OMIM:609057	NEPHROPATHY WITH PRETIBIAL EPIDERMOLYSIS BULLOSA AND DEAFNESS	胫前大疱性表皮松解症肾病和耳聋
OMIM:276880	UROCANASE DEFICIENCY; UROCD	尿刊酸脂酶缺乏症，UROCD
OMIM:610149	MACULAR DEGENERATION, AGE-RELATED, 7; ARMD7	年龄相关性黄斑变性-7（ARMD7）
OMIM:600142	CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY; CARASIL	常染色体隐性型脑动脉病，伴皮质下梗死和白质脑病（CARASIL）
OMIM:615155	STEEL SYNDROME; STLS	Steel综合征（STLS）
OMIM:176000	PORPHYRIA, ACUTE INTERMITTENT; AIP	急性间歇性卟啉病；AIP
OMIM:144700	RENAL CELL CARCINOMA, NONPAPILLARY; RCC	非乳头状肾细胞癌（RCC）
OMIM:136760	FRONTONASAL DYSPLASIA 1; FND1	额鼻部发育不良1（FND1）
OMIM:239500	HYPERPROLINEMIA, TYPE I; HYRPRO1	高脯氨酸血症；Ⅰ型；HYRPRO1
OMIM:600850	SCHIZOPHRENIA 4; SCZD4	精神分裂症 4（SCZD4）
OMIM:614266	BARRETT ESOPHAGUS	巴雷特食管
OMIM:269500	SCLEROSTEOSIS 1; SOST1	硬化性狭窄1
OMIM:122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD	颅骨骨干发育异常，常染色体显性遗传病；CDD
OMIM:239100	HYPEROSTOSIS CORTICALIS GENERALISATA	全身性骨皮质增厚症
OMIM:119900	DIGITAL CLUBBING, ISOLATED CONGENITAL	孤立性先天性杵状指
OMIM:259100	HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 1; PHOAR1	遗传性肥大性骨关节病，原发性，常染色体隐性遗传，1型；PHOAR1
OMIM:133780	EXUDATIVE VITREORETINOPATHY 1; EVR1	渗出性玻璃体视网膜病1（EVR1）
OMIM:614157	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10; NDNC10	非综合征型，先天性指甲异常-10（NDNC10）
OMIM:614546	EFAVIRENZ, POOR METABOLISM OF	依法韦仑代谢功能障碍
OMIM:607682	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 9; EIG9	敏感性特发性全身性癫痫9
OMIM:613855	EPISODIC ATAXIA, TYPE 5; EA5	5型发作性共济失调症；EA5
OMIM:602398	DESMOSTEROLOSIS	链甾醇病
OMIM:609148	MALARIA, MILD, SUSCEPTIBILITY TO	轻度疟疾，易感性
OMIM:147920	KABUKI SYNDROME 1; KABUK1	1型歌舞伎综合征（KABUK1）
OMIM:610185	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 2; CAMRQ2	小脑性共济失调、精神发育迟滞和平衡失调综合征2（CAMRQ2）
OMIM:151600	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3; NDNC3	非综合性先天性指甲病3型（NDNC3）
OMIM:614424	JOUBERT SYNDROME 14; JBTS14	JOUBERT综合征14（JBTS14）
OMIM:614970	JOUBERT SYNDROME 20; JBTS20	朱伯特综合征20（JBTS20）
OMIM:615397	MECKEL SYNDROME, TYPE 11; MKS11	麦克尔综合征11型；MKS11
OMIM:606664	GLYCINE N-METHYLTRANSFERASE DEFICIENCY	甘氨酸N-甲基转移酶缺乏症
OMIM:114500	COLORECTAL CANCER; CRC	结直肠癌；CRC
OMIM:616028	ADAMS-OLIVER SYNDROME 5; AOS5	Adams-Oliver综合征5（AOS 5）
OMIM:109730	AORTIC VALVE DISEASE 1; AOVD1	主动脉瓣疾病 1（ AOVD1）
OMIM:616389	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1G; CSNB1G	先天性静止性夜盲症1G型（ CSNB1G）
OMIM:610444	NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 3; CSNBAD3	常染色体显性遗传3型先天性静止性夜盲症（CSNBAD3）
OMIM:613856	ACHROMATOPSIA 4; ACHM4	全色盲-4；ACHM4
OMIM:608874	OROFACIAL CLEFT 5; OFC5	先天性唇腭裂5；OFC5
OMIM:189500	WITKOP SYNDROME	Witkop综合症
OMIM:106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1	选择性先天性缺牙症1（STHAG1）
OMIM:168550	PARIETAL FORAMINA WITH CLEIDOCRANIAL DYSPLASIA; PFMCCD	顶骨发育不全伴锁骨颅骨发育不良；PFMCCD
OMIM:604757	CRANIOSYNOSTOSIS 2; CRS2	颅缝早闭症-2；CRS2
OMIM:168500	PARIETAL FORAMINA 1; PFM1	顶叶椎间孔(PFM)
OMIM:613406	CHROMOSOME 15q24 DELETION SYNDROME	染色体15q24 缺失综合征
OMIM:616395	TRICHOTHIODYSTROPHY 3, PHOTOSENSITIVE; TTD3	光敏性毛发低硫营养不良3
OMIM:603736	OHDO SYNDROME, SBBYS VARIANT; SBBYSS	OHDO综合征，SBBYS变异型（SBBYSS）
OMIM:606170	GENITOPATELLAR SYNDROME; GTPTS	生殖器-髌骨综合征；GTPTS
OMIM:614256	MENTAL RETARDATION, AUTOSOMAL DOMINANT 10; MRD10	常染色体隐性遗传性精神发育迟缓10
OMIM:615032	AUTISM, SUSCEPTIBILITY TO, 18; AUTS18	易患性孤独症18（AUTS18)
OMIM:176430	PREMATURE CHROMATID SEPARATION TRAIT; PCS	染色单体过早分离性状；PCS
OMIM:114500	COLORECTAL CANCER; CRC	结直肠癌；CRC
OMIM:257300	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1	1型镶嵌性杂色非整倍体性综合征；MVA1
OMIM:613705	OROFACIAL CLEFT 10; OFC10	口面部裂10
OMIM:213980	CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR	颅面畸形和智力迟滞、骨骼异常综合征；CFSMR
OMIM:600320	DIABETES MELLITUS, INSULIN-DEPENDENT, 5; IDDM5	胰岛素依赖型糖尿病-7（IDDM7）
OMIM:600202	DYSLEXIA, SUSCEPTIBILITY TO, 2; DYX2	易患性阅读障碍2（DYX2）
OMIM:614171	HERMANSKY-PUDLAK SYNDROME 9; HPS9	Hermansky-Pudlak综合征-9（HPS9）
OMIM:262700	PITUITARY HORMONE DEFICIENCY, COMBINED, 4; CPHD4	结合型垂体激素缺乏症4型；CPHD4
OMIM:181500	SCHIZOPHRENIA; SCZD	精神分裂症；SCZD
OMIM:615092	LEFT VENTRICULAR NONCOMPACTION 7; LVNC7	左心室致密化不全7（LVNC7）
OMIM:616034	2,4-DIENOYL-CoA REDUCTASE DEFICIENCY; DECRD	2,4-二烯酰-辅酶A 还原酶缺乏症（DECRD）
OMIM:609218	FOVEAL HYPOPLASIA 2; FVH2	黄斑中心凹发育不良2；FVH2
OMIM:614868	T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS; TIIAC	复发感染性体T-细胞免疫缺损综合征和自身免疫伴/不伴心脏畸形；TIIAC
OMIM:227220	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 1; SHEP1	皮肤/头发/眼睛的色素沉着变异（SHEP1）
OMIM:203200	ALBINISM, OCULOCUTANEOUS, TYPE II; OCA2	白化病，眼皮肤的，II型；OCA2
OMIM:609423	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO	1型易患型人免疫缺陷病毒
OMIM:615871	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 24; EIEE24	早期婴儿癫痫性脑病24；EIEE24
OMIM:613123	BRUGADA SYNDROME 8; BRGDA8	8型Brugada综合症；BRGDA8
OMIM:163800	SICK SINUS SYNDROME 2, AUTOSOMAL DOMINANT; SSS2	常染色体显性遗传性病态窦房结综合征；SSS2
OMIM:613385	AUTOIMMUNE DISEASE, MULTISYSTEM, WITH FACIAL DYSMORPHISM; ADMFD	多系统自身免疫性疾病伴面部畸形
OMIM:615058	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1F; CSNB1F	1F型先天性静止性夜盲症；CSNB1F
OMIM:607277	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 1	ASTHMA相关形状易感性1
OMIM:212720	MARTSOLF SYNDROME	Martsolf综合征
OMIM:614225	WARBURG MICRO SYNDROME 2; WARBM2	Warburg Micro综合征2
OMIM:601626	LEUKEMIA, ACUTE MYELOID; AML	急性髓性白血病；AML
OMIM:121850	CORNEAL DYSTROPHY, FLECK	角膜营养不良，FLECK
OMIM:615663	WARBURG MICRO SYNDROME 4; WARBM4	Warbuge Micro综合征4型；WARBM4
OMIM:314390	VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS; VACTERLX	X染色体连锁VACTERL联合征，伴或不伴脑积水（VACTERLX）
OMIM:306955	HETEROTAXY, VISCERAL, 1, X-LINKED; HTX1	X连锁脏器异位综合征（HTX1）
OMIM:615382	NEPHRONOPHTHISIS 16; NPHP16	肾消耗病16（ NPP16）
OMIM:615593	IMMUNODEFICIENCY 16; IMD16	免疫缺陷病-16；IMD16
OMIM:601777	CONE-ROD DYSTROPHY 6; CORD6	遗传性视锥视杆细胞营养不良 6（CORD6）
OMIM:204000	LEBER CONGENITAL AMAUROSIS 1; LCA1	莱伯氏先天性黑内障-1（LCA1）
OMIM:275355	SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC	头颈部鳞状细胞癌；HNSCC
OMIM:227500	FACTOR VII DEFICIENCY	Ⅶ因子缺乏症
OMIM:608446	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	易感性心肌梗死
OMIM:210200	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D	3-甲基巴豆酰辅酶A羧化酶1型缺乏症；MCC1D
OMIM:604173	POIKILODERMA WITH NEUTROPENIA; PN	皮肤异色症伴中性粒细胞减少
OMIM:606176	DIABETES MELLITUS, PERMANENT NEONATAL; PNDM	永久性新生儿糖尿病；PNDM
OMIM:125852	DIABETES MELLITUS, INSULIN-DEPENDENT, 2	胰岛素依赖型糖尿病2
OMIM:616214	HYPERPROINSULINEMIA	高前胰岛素血症
OMIM:613370	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10; MODY10	成年发病型青年糖尿病10
OMIM:610542	MYASTHENIC SYNDROME, CONGENITAL, 12; CMS12	先天性肌无力综合征-12；CMS12
OMIM:615993	BARDET-BIEDL SYNDROME 16; BBS16	巴比二氏综合征16; BBS16
OMIM:614501	PSYCHOMOTOR RETARDATION, EPILEPSY, AND CRANIOFACIAL DYSMORPHISM; PMRED	精神运动发育迟缓，癫痫和头面部畸形; PMRED
OMIM:266120	URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	尿苷5 '—磷酸水解酶缺乏所致溶血性贫血
OMIM:607948	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO	易感性结核分枝杆菌
OMIM:614383	BACTEREMIA, SUSCEPTIBILITY TO, 2; BACTS2	易感型菌血症2型；BACTS2
OMIM:611162	MALARIA, SUSCEPTIBILITY TO	疟疾，易感性
OMIM:111380	BLOOD GROUP--OK; OK	OK血型（OK）
OMIM:114480	BREAST CANCER	乳腺癌
OMIM:614490	BLOOD GROUP, JUNIOR SYSTEM; JR	Junior血型系统（JR）
OMIM:138900	URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1; UAQTL1	血清尿酸浓度数量性状位点1（UAQTL1）
OMIM:267500	RETICULAR DYSGENESIS	网状细胞发育不全
OMIM:241410	HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRD	甲状旁腺功能减退-发育缺陷-先天畸形综合征；HRD
OMIM:244460	KENNY-CAFFEY SYNDROME, TYPE 1; KCS1	1型Kenny Caffey综合征（KCS1）
OMIM:253220	MUCOPOLYSACCHARIDOSIS, TYPE VII; MPS7	Ⅶ型粘多糖病；MPS7
OMIM:304340	PETTIGREW SYNDROME; PGS	小矮星综合征; PGS
OMIM:125850	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1; MODY1	青少年发病的成年型糖尿病 1型（MODY1）
OMIM:125853	DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM	非胰岛素依赖型糖尿病
OMIM:616026	FANCONI RENOTUBULAR SYNDROME 4 WITH MATURITY-ONSET DIABETES OF THE YOUNG; FRTS4	Fanconi 肾小管综合征-4伴青年发病的成年型糖尿病（FRTS4）
OMIM:600775	CRANIOSYNOSTOSIS 4; CRS4	颅缝早闭症-4； CRS4
OMIM:210750	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 6; SHEP6	变异性皮肤/头发/眼睛色素沉着-6；SHEP6
OMIM:615887	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA5; AI2A5	釉质形成缺陷症ⅡA5（AI2A5）
OMIM:249500	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 1; MRT1	常染色体隐性1型精神发育迟缓；MRT1
OMIM:616118	MACULAR DEGENERATION, EARLY-ONSET; EOMD	早发型黄斑变性(EOMD)
OMIM:121050	ARTHROGRYPOSIS, DISTAL, TYPE 9; DA9	第9类末节关节挛缩; DA9
OMIM:102370	ACROMICRIC DYSPLASIA; ACMICD	ACROMICRIC发育不良（ACMICD）
OMIM:154700	MARFAN SYNDROME; MFS	马凡氏综合征(MFS)
OMIM:184900	STIFF SKIN SYNDROME; SSKS	僵硬性皮肤综合症；SSK
OMIM:604308	MASS SYNDROME	Mass综合征
OMIM:614185	GELEOPHYSIC DYSPLASIA 2; GPHYSD2	猫体发育不良症2（GPHYSD2）
OMIM:129600	ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT; ECTOL1	1型晶状体异位，离体，常染色体显性遗传；ECTOL1
OMIM:608328	WEILL-MARCHESANI SYNDROME 2; WMS2	2型WEILL-MARCHESANI 综合征（WMS2）
OMIM:615267	HYPOGONADOTROPIC HYPOGONADISM 18 WITH OR WITHOUT ANOSMIA; HH18	低促性腺素性功能减退症-18，伴/不伴嗅觉缺失（HH18）
OMIM:607748	HYPERCHOLANEMIA, FAMILIAL; FHCA	家族性高胆烷血症（FHCA）
OMIM:604233	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1; GEFSP1	热性惊厥型全身性癫痫类型1; GEFSP1
OMIM:612838	BRUGADA SYNDROME 5; BRGDA5	BRUGADA综合征5型（BRGDA5）
OMIM:615377	ATRIAL FIBRILLATION, FAMILIAL, 13; ATFB13	家族性心房颤动13; ATFB13
OMIM:220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY	线粒体复合物Ⅳ（细胞色素c氧化酶）缺乏症
OMIM:265120	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 1; SMDP1	肺表面物质功能障碍疾病-1；SMDP1
OMIM:165800	OSTEOCHONDRITIS DISSECANS, SHORT STATURE, AND EARLY-ONSET OSTEOARTHRITIS; OD	剥脱性骨软骨炎，身材矮小，早发性骨关节炎综合征；OD
OMIM:608361	SPONDYLOEPIPHYSEAL DYSPLASIA, KIMBERLEY TYPE; SEDK	KIMBERLEY型脊椎骨骺发育不良
OMIM:612813	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, AGGRECAN TYPE	蛋白聚糖型脊椎干骺端发育不良症
OMIM:601382	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B1; CMT4B1	4B1型腓骨肌萎缩症；CMT4B1
OMIM:187500	TETRALOGY OF FALLOT; TOF	法洛四联症；TOF
OMIM:611742	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 9; SHEP9	皮肤/头发/眼睛色素沉淀,变异,9;SHEP9
OMIM:611548	PREMATURE OVARIAN FAILURE 5; POF5	卵巢功能早衰-5；POF5
OMIM:614923	BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD	支链酮酸脱氢酶激酶缺乏症; BCKDKD
OMIM:614678	PONTOCEREBELLAR HYPOPLASIA, TYPE 1B; PCH1B	脑桥小脑发育不全 1B型（PCH1B）
OMIM:225100	ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE; ECTOL2	常染色体隐性遗传性单纯性晶状体异位（ECTOL2）
OMIM:225200	ECTOPIA LENTIS ET PUPILLAE	晶状体及瞳孔异位
OMIM:600132	RETINITIS PIGMENTOSA 14; RP14	色素性视网膜炎-14（RP14）
OMIM:613843	LEBER CONGENITAL AMAUROSIS 15; LCA15	莱伯先天性黑朦15；LCA15
OMIM:204870	CORNEAL DYSTROPHY, GELATINOUS DROP-LIKE; GDLD	胶滴状角膜营养不良；GDLD
OMIM:129490	ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT; ECTD10A	外胚层发育不良症（10A），少汗/毛发/指甲型，常染色体显性；ECTD10A
OMIM:612630	HAIR MORPHOLOGY 1; HRM1	毛发形态学1（HRM1）
